Transaction Date,Post Date,Description,Category,Type,Amount
5/25/19,5/26/19,PARC-PARKING AUTHORITY O,Travel,Sale,-6.25
5/23/19,5/26/19,1430 Dominos Pizza,Food & Drink,Sale,-12.7
5/16/19,5/17/19,RUMPKE/WEB RECURRING,Bills & Utilities,Sale,-61.89
5/14/19,5/15/19,PARC-PARKING AUTHORITY O,Travel,Sale,-2.25
5/6/19,5/7/19,PARC-PARKING AUTHORITY O,Travel,Sale,-4.25
5/5/19,5/6/19,CHEWY.COM,Shopping,Sale,-65.44
4/30/19,5/1/19,APL* ITUNES.COM/BILL,Shopping,Sale,-24.37
4/28/19,4/29/19,PAYPAL *LINKEDIN,Bills & Utilities,Sale,-29.99
4/26/19,4/26/19,REDEMPTION CREDIT,,Adjustment,31.89
4/23/19,4/24/19,TRUGREEN LP *5150,Home,Sale,-53.71
4/18/19,4/21/19,MMS UNIVERSITY00165217,Food & Drink,Sale,-4.23
4/19/19,4/21/19,ARAMARK STARBUCKS AT KY C,Food & Drink,Sale,-7.26
4/19/19,4/21/19,ARAMARK STARBUCKS AT KY C,Food & Drink,Sale,-4.66
4/19/19,4/21/19,DOMINO'S 1430,Food & Drink,Sale,-30.75
4/18/19,4/21/19,OC LEXINGTON,Food & Drink,Sale,-22.2
4/18/19,4/21/19,STARBUCKS STORE 14259,Food & Drink,Sale,-4.98
4/17/19,4/19/19,ARAMARK STARBUCKS AT KY C,Food & Drink,Sale,-2.07
4/17/19,4/19/19,PLANET THAI,Food & Drink,Sale,-15.65
4/15/19,4/16/19,KROGER 739,Groceries,Sale,-0.89
4/12/19,4/14/19,TACO BELL 036161,Food & Drink,Sale,-14.07
4/11/19,4/12/19,SPRINT *WIRELESS,Bills & Utilities,Sale,-278.3
4/11/19,4/12/19,COSTCO WHSE #0634,Shopping,Sale,-78.96
4/10/19,4/11/19,ATT*BILL PAYMENT,Bills & Utilities,Sale,-90
4/10/19,4/11/19,KROGER FUEL 8739,Gas,Sale,-37.04
4/9/19,4/10/19,KROGER 739,Groceries,Sale,-34.28
4/9/19,4/10/19,KROGER 707,Groceries,Sale,-67.45
4/9/19,4/10/19,THE UPS STORE 5408,Personal,Sale,-50
4/8/19,4/9/19,WALGREENS #3618,Health & Wellness,Sale,-1.2
4/8/19,4/9/19,KROGER FUEL 8739,Gas,Sale,-46.12
4/8/19,4/9/19,COX &amp; KINGS PASSPORT,Personal,Sale,-136.57
4/8/19,4/9/19,KROGER FUEL 8739,Gas,Sale,-19.6
4/4/19,4/7/19,SIDEWALK CAFE,Food & Drink,Sale,-60.06
4/5/19,4/7/19,SQ *NEWPORT LANDING SPORT,Entertainment,Sale,-3
4/4/19,4/7/19,ALBERTSONS 0110,Groceries,Sale,-22.61
4/6/19,4/7/19,CHEWY.COM,Shopping,Sale,-65.44
4/5/19,4/7/19,BALBOA BAKERY &amp; DONUTS,Food & Drink,Sale,-21.85
4/4/19,4/5/19,LIMLIME,Travel,Sale,-2.4
4/4/19,4/5/19,LIM,Travel,Sale,-10
4/3/19,4/5/19,SPA NAILS,Personal,Sale,-45
4/4/19,4/4/19,FANTASTIC SAMS,Personal,Sale,-23
4/3/19,4/4/19,EL NOPAL,Food & Drink,Sale,-33.11
4/3/19,4/4/19,KROGER 739,Groceries,Sale,-6.87
4/2/19,4/3/19,STATE FARM INSURANCE,Bills & Utilities,Sale,-399.62
4/2/19,4/3/19,LOUISVILLE CAFE INDIA,Food & Drink,Sale,-34.1
4/2/19,4/3/19,KROGER 739,Groceries,Sale,-7.4
4/3/19,4/3/19,FANTASTIC SAMS,Personal,Sale,-19
4/1/19,4/2/19,OLD NAVY US 3975,Shopping,Sale,-55.63
4/1/19,4/2/19,TRITON SWIMMING,Education,Sale,-197
4/1/19,4/2/19,OLD NAVY US 3975,Shopping,Return,17.47
3/31/19,4/2/19,SPA NAILS,Personal,Sale,-20
3/31/19,4/2/19,DOUBLE DRAGON II,Food & Drink,Sale,-33.17
3/31/19,4/1/19,WM SUPERCENTER #526,Groceries,Sale,-5.49
3/31/19,4/1/19,OLD NAVY US 6226,Shopping,Sale,-40.98
3/31/19,4/1/19,KROGER 739,Groceries,Sale,-15.3
3/31/19,4/1/19,1438 GREAT CLIPS AT SHOPS,Personal,Sale,-15
3/31/19,4/1/19,KROGER 739,Groceries,Sale,-15.56
3/31/19,4/1/19,MACYS  OXMOOR MALL,Shopping,Sale,-10.04
