Date,Amount,C1,C2,Desc
5/19/19,-224.1,*,,COSTCO WHSE #0634 LOUISVILLE KY
5/18/19,-46.77,*,,COSTCO GAS #0634 LOUISVILLE KY
5/12/19,-5.72,*,,STARBUCKS STORE 02562 LOUISVILLE KY
5/12/19,-278.47,*,,SPRINT *WIRELESS 800-639-6111 KS
5/11/19,-30.79,*,,APNA BAZAAR LOUISVILLE KY
5/10/19,-90,*,,ATT*BILL PAYMENT 800-288-2020 TX
5/2/19,-399.62,*,,STATE FARM INSURANCE 800-956-6310 IL
5/1/19,-5,*,,HINDU TEMPLE OF KENTUCKY LOUISVILLE KY
4/30/19,-46.04,*,,SQ *SHREEJI STREET FOOD Louisville KY
4/30/19,-1.05,*,,TARGET 00010710 LOUISVILLE KY
4/28/19,-37.73,*,,KOHL'S #0288 LOUISVILLE KY
4/28/19,-37.1,*,,COSTCO GAS #0634 LOUISVILLE KY
4/28/19,-41.93,*,,1438 GREAT CLIPS AT SHOPSLOUISVILLE KY
4/28/19,-7.23,*,,APNA BAZAAR LOUISVILLE KY
4/27/19,-8.75,*,,BLAZE PIZZA LOUISV LOUISVILLE KY
4/25/19,-12.7,*,,ZAXBY'S #59301 LOUISVILLE KY
4/25/19,-4.24,*,,THORNTONS #0031 LOUISVILLE KY
4/24/19,-21.32,*,,COSTCO GAS #0634 LOUISVILLE KY
4/24/19,-193.36,*,,COSTCO WHSE #0634 LOUISVILLE KY
4/22/19,-17.61,*,,APNA BAZAAR LOUISVILLE KY
4/21/19,-4.76,*,,KROGER #739 LOUISVILLE KY
4/20/19,-3.49,*,,KROGER #739 LOUISVILLE KY
4/20/19,-37.07,*,,WALGREENS #7643 LOUISVILLE KY
4/20/19,-63.86,*,,COSTCO WHSE #0634 LOUISVILLE KY
4/19/19,-29.62,*,,KROGER #739 LOUISVILLE KY
4/19/19,-2.08,*,,WM SUPERCENTER #4450 MIDDLETOWN KY
4/19/19,-24.18,*,,INDIAN BAZAAR LLC LOUISVILLE KY
4/19/19,-21.19,*,,TARGET 00027284 MIDDLETOWN KY
4/18/19,-5.99,*,,KROGER #739 LOUISVILLE KY
4/18/19,-7.63,*,,PATEL BROTHERS LOUISVILLE KY
4/18/19,-26.06,*,,KROGER #739 LOUISVILLE KY
4/18/19,-2.99,*,,KROGER #739 LOUISVILLE KY
4/18/19,-3.15,*,,PATEL BROTHERS LOUISVILLE KY
