StoreId,StoreName,CategoryId
1,TACO,1
2,SUBWAY,1
3,TAIPEI,1
4,FUDGERY,1
5,SHIRAZ,1
6,BOMBAY,1
7,CHICK,1
8,YANG,1
9,OLIVE GARDEN,1
10,MCDONALD,1
11,STARBUCKS,1
12,DOMINO,1
13,BASKIN,1
14,ZEGGZ,1
15,BUFFALO WILD,1
16,ATLANTIC,1
17,EL NOPAL,1
18,DOUBLE DRAGON,1
19,ADDIS,1
20,FIESTA TIME,1
21,PANERA,1
22,GORDON,1
23,BJS,1
24,DOWN ONE,1
25,DOC CROWS,1
26,SPORTS AND SOCIAL,1
27,WING ZONE,1
28,SCHLOTZSKY,1
29,CHINA BUFFET,1
30,ANAR FOOD MART,1
31,VERBENA,1
32,RED ROBIN,1
33,RED LOBSTER,1
34,CHEESECAKE,1
35,HUMANA LOU HUB,1
36,CHEDDARS,1
37,DRAKE,1
38,WOB,1
39,DAKSHIN,1
40,RIVUE,1
41,DUNKIN,1
42,SAFFRONS,1
43,CRAFTHOUSE,1
44,SUNERGOS,1
45,HOME RUN,1
46,HOMEMADE ICE,1
47,COMFY,1
48,HIKO A MON,1
49,NEW VENTURE FOOD,1
50,WEI WEI,1
51,MOE,1
52,CHINA BISTRO,1
53,QUIZNOS,1
54,WILD EGGS,1
55,RICE RESTAURANT,1
56,CELLAR DOOR,1
57,THE COUNTER,1
58,CARRY ON,1
59,LOTERIA GRILL,1
60,MALIA KAI,1
61,DAYLIGHT MIND,1
62,ROMANOS,1
63,NAPUA,1
64,PIZZA HUT,1
65,HELE WAIAKEA,1
66,WAIKOLOA VILLAGE MK,1
67,CAFE IL MONDO,1
68,ISLAND LAVA JAVA,1
69,TEX DRIVE IN,1
70,JUICE 101,1
71,LOWS CORNER,1
72,MENEHUNE COFFEE,1
73,UMEKES,1
74,CITY WOK,1
75,WETZELS PRETZEL,1
76,CARIBOU COFFEE,1
77,CASA FIESTA,1
78,POTBELLY,1
79,KFC,1
80,FIRENZA,1
81,ROOSTERS,1
82,PITA PIT,1
83,VILLAGE ANCHOR,1
84,STARLIGHT,1
85,GROVE EWR,1
86,BRIJ MOHAN,1
87,PBR,1
88,STARBUCK,1
89,LOUIES PIZZA,1
90,USA*SODEXO,1
91,PPL*,1
92,CRACKER BARREL,1
93,TIKKA HOUSE,1
94,INDIAS OVEN,1
95,AMERISTAR,1
96,AMRSTR,1
97,NORTON,2
98,FANDANGO,2
99,CINEMARK,2
100,GREAT CLIPS,2
101,SPRINGHURST,2
102,HSKY,2
103,REDBOX,2
104,KBN,2
105,DICK,2
106,OFFICEMAX,2
107,MARY T,2
108,JEFFERSON COUNTY CLERKS,2
109,PARC,2
110,BATH,2
111,MONOWEAR,2
112,AUTO AIR,2
113,GAMESTOP,2
114,BEST BUY,2
115,RUSHTRANS,2
116,UPS STORE,2
117,CIRELIS,2
118,UPS STORE,2
119,CIRELIS,2
120,GRANTIEGOLL,2
121,OXMOOR TOYOTA,2
122,APPLE STORE,2
123,BARNES,2
124,OPEN RANGE,2
125,HINDU,2
126,NATIONAL MS,2
127,LOUISVILLE PUBLIC MEDIA,2
128,TIRE DISCOUNTER,2
129,PACIFIC NATURE,2
130,IGM WAIKOLOA,2
131,ARI,2
132,MAUNA LANI SEA,2
133,HAWAII PACIFIC PARKS,2
134,HULAKAI,2
135,SNORKEL BOB,2
136,LOUISVILLE CDJR,2
137,GLEN OAKS SWIM,2
138,ALG*AIR,2
139,STONYBROOK,2
140,TATTOO,2
141,BUDGET.COM,2
142,JEFFERS,2
143,PRESTIGE,2
144,EXPEDIA,2
145,SIGN A RAMA,2
146,AUTOZONE,2
147,FAST FIX,2
148,HUBER,2
149,CINCINNATI,2
150,BIRRACIBO,2
151,BAPS,2
152,GILLIAN,2
153,SHRIVER,2
154,BY THE SEA,2
155,NEWARK,2
156,LIQUOR,2
157,CANOE,2
158,ITUNES,2
159,CHUCK,2
160,JEWISH,2
161,GROUPON,2
162,SHOEDAZZLE,2
163,SIGNATURE NAILS,2
164,CARDINAL UNIFORMS,2
165,BEACHBODY,2
166,VITAMIN,2
167,SPA NAILS,2
168,VICTORIA,2
169,PPL*3,2
170,ULTA,2
171,SARAH FOX,2
172,NEW BEVERLY,2
173,ROSEGAL,2
174,LOWES,3
175,HOME DEPOT,3
176,Amazon,4
177,PAYPAL,4
178,ANIMAL,5
179,PET SCHOOL,5
180,TRUGREEN,6
181,DISH,6
182,TWC,6
183,SPRINT,6
184,AmazonPrime,6
185,PROTECT AMERICA,6
186,VONAGE,6
187,THORNTONS,7
188,GAS,7
189,VALERO,7
190,KROGER FUEL,7
191,SHELL,7
192,CHEVRON,7
193,BP#,7
194,LOVE,7
195,KROGER,8
196,WALMART,8
197,COSTCO,8
198,APNA BAZAAR,8
199,PATEL BROTHER,8
200,WAL-MART,8
201,TARGET,8
202,MEIJER,8
203,WALGREENS,8
204,DOLLAR TREE,8
205,PAUL,8
206,CVS,8
207,FOODLAND FARMS,8
208,FARMERS MARKET,8
209,OLD NAVY,9
210,COLUMBIA,9
211,A EAGLE,9
212,KOHL,9
213,DICK,9
214,MACY,9
215,LEVIS,9
216,OUTLET SHOPPES,9
217,SHOE CARNIVAL,9
218,NIKE,9
219,FOSSIL,9
220,KOHLS,9
221,TJMAXX,9
222,BIG LOTS,9
223,FOREST SPRING,10
224,FAMILY CARE,10
225,TRAN ORTHODONTICS,10
226,LABCORP,10
227,QUEST,10
228,COMMUNITY EAR NOSE,10
